Pk_Tournament;Player Name;Tournament Name;Round Reached;Matches Played;Points Earned;PrizePoll;categorie;country;Matches Won
1;Ariana Sanchez;Dubai Premier Padel P1;Winner;6;1000;470000.00;P1;UAE;6
2;Paula Josemaria;Dubai Premier Padel P1;Winner;6;1000;470000.00;P1;UAE;6
3;Gemma Triay;Dubai Premier Padel P1;Final;6;600;470000.00;P1;UAE;5
4;Delfina Brea;Dubai Premier Padel P1;Final;6;600;470000.00;P1;UAE;5
5;Bea Gonzalez;Dubai Premier Padel P1;Semifinals;5;360;470000.00;P1;UAE;4
6;Claudia Fernandez;Dubai Premier Padel P1;Semifinals;5;360;470000.00;P1;UAE;4
7;Marta Ortega;Dubai Premier Padel P1;Semifinals;5;360;470000.00;P1;UAE;4
8;Lucia Sainz;Dubai Premier Padel P1;Semifinals;5;360;470000.00;P1;UAE;4
9;Jessica Castello;Dubai Premier Padel P1;Round of 16;3;90;470000.00;P1;UAE;2
10;Veronica Virseda;Dubai Premier Padel P1;Round of 16;3;90;470000.00;P1;UAE;2
11;Mapi Sanchez Alayeto;Dubai Premier Padel P1;Quarterfinals;4;180;470000.00;P1;UAE;3
12;Alejandra Salazar;Dubai Premier Padel P1;Quarterfinals;4;180;470000.00;P1;UAE;3
13;Aranzazu Osoro;Dubai Premier Padel P1;Quarterfinals;4;180;470000.00;P1;UAE;3
14;Tamara Icardo;Dubai Premier Padel P1;Quarterfinals;4;180;470000.00;P1;UAE;3
15;Noemi Aguilar;Dubai Premier Padel P1;Round of 32;2;45;470000.00;P1;UAE;1
16;Claudia Jensen;Dubai Premier Padel P1;Round of 32;2;45;470000.00;P1;UAE;1
17;Chiara Pappacena;Dubai Premier Padel P1;Quarterfinals;4;180;470000.00;P1;UAE;3
18;Sara Ruiz;Dubai Premier Padel P1;Quarterfinals;4;180;470000.00;P1;UAE;3
19;Patricia Llaguno;Dubai Premier Padel P1;Round of 32;2;45;470000.00;P1;UAE;1
